"BehaviorSpace results (NetLogo 6.0.1)"
"Diffusion-chrizbo.nlogo"
"social-influence-experiment"
"07/23/2017 13:43:07:963 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-agents","network","social-influence","broadcast-influence","[step]","count turtles with [ adopted? ]","count regulars with [ adopted? ]","count influentials with [ adopted? ]"
"3","100","""random""","0.1","0.05","0","0","0","0"
"4","100","""random""","0.1","0.05","0","0","0","0"
"1","100","""random""","0.1","0.05","0","0","0","0"
"4","100","""random""","0.1","0.05","1","5","5","0"
"3","100","""random""","0.1","0.05","1","7","6","1"
"1","100","""random""","0.1","0.05","1","6","5","1"
"4","100","""random""","0.1","0.05","2","17","16","1"
"1","100","""random""","0.1","0.05","2","11","10","1"
"3","100","""random""","0.1","0.05","2","14","13","1"
"4","100","""random""","0.1","0.05","3","21","20","1"
"1","100","""random""","0.1","0.05","3","19","17","2"
"3","100","""random""","0.1","0.05","3","17","16","1"
"4","100","""random""","0.1","0.05","4","27","25","2"
"4","100","""random""","0.1","0.05","5","31","29","2"
"3","100","""random""","0.1","0.05","4","26","25","1"
"4","100","""random""","0.1","0.05","6","33","31","2"
"3","100","""random""","0.1","0.05","5","33","31","2"
"4","100","""random""","0.1","0.05","7","36","34","2"
"3","100","""random""","0.1","0.05","6","37","35","2"
"4","100","""random""","0.1","0.05","8","42","38","4"
"3","100","""random""","0.1","0.05","7","41","38","3"
"4","100","""random""","0.1","0.05","9","48","44","4"
"3","100","""random""","0.1","0.05","8","46","43","3"
"4","100","""random""","0.1","0.05","10","53","48","5"
"4","100","""random""","0.1","0.05","11","58","53","5"
"3","100","""random""","0.1","0.05","9","51","48","3"
"4","100","""random""","0.1","0.05","12","64","58","6"
"3","100","""random""","0.1","0.05","10","54","51","3"
"4","100","""random""","0.1","0.05","13","69","63","6"
"3","100","""random""","0.1","0.05","11","55","52","3"
"2","100","""random""","0.1","0.05","0","0","0","0"
"4","100","""random""","0.1","0.05","14","70","64","6"
"3","100","""random""","0.1","0.05","12","57","53","4"
"4","100","""random""","0.1","0.05","15","76","69","7"
"3","100","""random""","0.1","0.05","13","65","61","4"
"4","100","""random""","0.1","0.05","16","78","70","8"
"3","100","""random""","0.1","0.05","14","67","63","4"
"4","100","""random""","0.1","0.05","17","85","75","10"
"4","100","""random""","0.1","0.05","18","87","77","10"
"2","100","""random""","0.1","0.05","1","3","3","0"
"3","100","""random""","0.1","0.05","15","70","65","5"
"4","100","""random""","0.1","0.05","19","87","77","10"
"4","100","""random""","0.1","0.05","20","88","78","10"
"3","100","""random""","0.1","0.05","16","75","69","6"
"4","100","""random""","0.1","0.05","21","90","80","10"
"1","100","""random""","0.1","0.05","4","23","21","2"
"3","100","""random""","0.1","0.05","17","75","69","6"
"3","100","""random""","0.1","0.05","18","78","72","6"
"2","100","""random""","0.1","0.05","2","5","5","0"
"3","100","""random""","0.1","0.05","19","79","73","6"
"3","100","""random""","0.1","0.05","20","79","73","6"
"3","100","""random""","0.1","0.05","21","81","75","6"
"3","100","""random""","0.1","0.05","22","81","75","6"
"2","100","""random""","0.1","0.05","3","10","10","0"
"3","100","""random""","0.1","0.05","23","82","76","6"
"3","100","""random""","0.1","0.05","24","82","76","6"
"3","100","""random""","0.1","0.05","25","83","77","6"
"1","100","""random""","0.1","0.05","5","29","27","2"
"2","100","""random""","0.1","0.05","4","13","13","0"
"1","100","""random""","0.1","0.05","6","31","29","2"
"2","100","""random""","0.1","0.05","5","15","15","0"
"1","100","""random""","0.1","0.05","7","35","32","3"
"2","100","""random""","0.1","0.05","6","16","16","0"
"1","100","""random""","0.1","0.05","8","39","36","3"
"3","100","""random""","0.1","0.05","26","84","78","6"
"4","100","""random""","0.1","0.05","22","91","81","10"
"1","100","""random""","0.1","0.05","9","42","39","3"
"2","100","""random""","0.1","0.05","7","21","21","0"
"1","100","""random""","0.1","0.05","10","47","43","4"
"2","100","""random""","0.1","0.05","8","22","22","0"
"1","100","""random""","0.1","0.05","11","55","50","5"
"2","100","""random""","0.1","0.05","9","25","25","0"
"1","100","""random""","0.1","0.05","12","57","52","5"
"2","100","""random""","0.1","0.05","10","30","30","0"
"4","100","""random""","0.1","0.05","23","92","82","10"
"1","100","""random""","0.1","0.05","13","63","57","6"
"1","100","""random""","0.1","0.05","14","68","62","6"
"2","100","""random""","0.1","0.05","11","34","34","0"
"1","100","""random""","0.1","0.05","15","71","65","6"
"1","100","""random""","0.1","0.05","16","71","65","6"
"2","100","""random""","0.1","0.05","12","37","36","1"
"4","100","""random""","0.1","0.05","24","92","82","10"
"1","100","""random""","0.1","0.05","17","72","65","7"
"1","100","""random""","0.1","0.05","18","75","67","8"
"1","100","""random""","0.1","0.05","19","76","68","8"
"4","100","""random""","0.1","0.05","25","93","83","10"
"2","100","""random""","0.1","0.05","13","41","39","2"
"4","100","""random""","0.1","0.05","26","93","83","10"
"2","100","""random""","0.1","0.05","14","46","43","3"
"4","100","""random""","0.1","0.05","27","93","83","10"
"4","100","""random""","0.1","0.05","28","93","83","10"
"4","100","""random""","0.1","0.05","29","93","83","10"
"3","100","""random""","0.1","0.05","27","84","78","6"
"4","100","""random""","0.1","0.05","30","93","83","10"
"2","100","""random""","0.1","0.05","15","49","46","3"
"4","100","""random""","0.1","0.05","31","94","84","10"
"4","100","""random""","0.1","0.05","32","94","84","10"
"4","100","""random""","0.1","0.05","33","95","85","10"
"4","100","""random""","0.1","0.05","34","96","86","10"
"3","100","""random""","0.1","0.05","28","85","78","7"
"2","100","""random""","0.1","0.05","16","51","48","3"
"4","100","""random""","0.1","0.05","35","97","87","10"
"4","100","""random""","0.1","0.05","36","97","87","10"
"4","100","""random""","0.1","0.05","37","97","87","10"
"4","100","""random""","0.1","0.05","38","98","88","10"
"2","100","""random""","0.1","0.05","17","59","54","5"
"4","100","""random""","0.1","0.05","39","98","88","10"
"4","100","""random""","0.1","0.05","40","98","88","10"
"4","100","""random""","0.1","0.05","41","99","89","10"
"2","100","""random""","0.1","0.05","18","61","56","5"
"3","100","""random""","0.1","0.05","29","87","79","8"
"4","100","""random""","0.1","0.05","42","99","89","10"
"4","100","""random""","0.1","0.05","43","99","89","10"
"2","100","""random""","0.1","0.05","19","67","62","5"
"4","100","""random""","0.1","0.05","44","99","89","10"
"4","100","""random""","0.1","0.05","45","99","89","10"
"4","100","""random""","0.1","0.05","46","99","89","10"
"1","100","""random""","0.1","0.05","20","78","70","8"
"4","100","""random""","0.1","0.05","47","99","89","10"
"3","100","""random""","0.1","0.05","30","88","80","8"
"4","100","""random""","0.1","0.05","48","99","89","10"
"4","100","""random""","0.1","0.05","49","99","89","10"
"1","100","""random""","0.1","0.05","21","82","73","9"
"3","100","""random""","0.1","0.05","31","88","80","8"
"4","100","""random""","0.1","0.05","50","99","89","10"
"4","100","""random""","0.1","0.05","51","99","89","10"
"1","100","""random""","0.1","0.05","22","84","74","10"
"3","100","""random""","0.1","0.05","32","90","82","8"
"4","100","""random""","0.1","0.05","52","99","89","10"
"3","100","""random""","0.1","0.05","33","91","82","9"
"4","100","""random""","0.1","0.05","53","99","89","10"
"1","100","""random""","0.1","0.05","23","87","77","10"
"4","100","""random""","0.1","0.05","54","99","89","10"
"3","100","""random""","0.1","0.05","34","91","82","9"
"4","100","""random""","0.1","0.05","55","99","89","10"
"4","100","""random""","0.1","0.05","56","99","89","10"
"3","100","""random""","0.1","0.05","35","92","83","9"
"4","100","""random""","0.1","0.05","57","99","89","10"
"3","100","""random""","0.1","0.05","36","93","84","9"
"4","100","""random""","0.1","0.05","58","99","89","10"
"4","100","""random""","0.1","0.05","59","100","90","10"
"3","100","""random""","0.1","0.05","37","93","84","9"
"1","100","""random""","0.1","0.05","24","88","78","10"
"3","100","""random""","0.1","0.05","38","95","85","10"
"3","100","""random""","0.1","0.05","39","96","86","10"
"1","100","""random""","0.1","0.05","25","89","79","10"
"3","100","""random""","0.1","0.05","40","96","86","10"
"3","100","""random""","0.1","0.05","41","96","86","10"
"1","100","""random""","0.1","0.05","26","90","80","10"
"3","100","""random""","0.1","0.05","42","96","86","10"
"1","100","""random""","0.1","0.05","27","90","80","10"
"3","100","""random""","0.1","0.05","43","96","86","10"
"1","100","""random""","0.1","0.05","28","91","81","10"
"3","100","""random""","0.1","0.05","44","96","86","10"
"1","100","""random""","0.1","0.05","29","92","82","10"
"3","100","""random""","0.1","0.05","45","96","86","10"
"3","100","""random""","0.1","0.05","46","96","86","10"
"1","100","""random""","0.1","0.05","30","93","83","10"
"3","100","""random""","0.1","0.05","47","96","86","10"
"1","100","""random""","0.1","0.05","31","95","85","10"
"1","100","""random""","0.1","0.05","32","95","85","10"
"3","100","""random""","0.1","0.05","48","96","86","10"
"1","100","""random""","0.1","0.05","33","95","85","10"
"3","100","""random""","0.1","0.05","49","96","86","10"
"1","100","""random""","0.1","0.05","34","95","85","10"
"3","100","""random""","0.1","0.05","50","97","87","10"
"1","100","""random""","0.1","0.05","35","95","85","10"
"3","100","""random""","0.1","0.05","51","98","88","10"
"1","100","""random""","0.1","0.05","36","95","85","10"
"3","100","""random""","0.1","0.05","52","98","88","10"
"3","100","""random""","0.1","0.05","53","98","88","10"
"1","100","""random""","0.1","0.05","37","96","86","10"
"3","100","""random""","0.1","0.05","54","98","88","10"
"3","100","""random""","0.1","0.05","55","98","88","10"
"1","100","""random""","0.1","0.05","38","96","86","10"
"3","100","""random""","0.1","0.05","56","98","88","10"
"3","100","""random""","0.1","0.05","57","98","88","10"
"1","100","""random""","0.1","0.05","39","98","88","10"
"3","100","""random""","0.1","0.05","58","98","88","10"
"1","100","""random""","0.1","0.05","40","98","88","10"
"3","100","""random""","0.1","0.05","59","98","88","10"
"1","100","""random""","0.1","0.05","41","98","88","10"
"1","100","""random""","0.1","0.05","42","98","88","10"
"3","100","""random""","0.1","0.05","60","99","89","10"
"1","100","""random""","0.1","0.05","43","98","88","10"
"3","100","""random""","0.1","0.05","61","100","90","10"
"1","100","""random""","0.1","0.05","44","98","88","10"
"1","100","""random""","0.1","0.05","45","98","88","10"
"1","100","""random""","0.1","0.05","46","98","88","10"
"1","100","""random""","0.1","0.05","47","98","88","10"
"1","100","""random""","0.1","0.05","48","98","88","10"
"1","100","""random""","0.1","0.05","49","98","88","10"
"1","100","""random""","0.1","0.05","50","100","90","10"
"5","100","""random""","0.1","0.05","0","0","0","0"
"2","100","""random""","0.1","0.05","20","68","62","6"
"2","100","""random""","0.1","0.05","21","70","64","6"
"2","100","""random""","0.1","0.05","22","73","66","7"
"2","100","""random""","0.1","0.05","23","77","69","8"
"2","100","""random""","0.1","0.05","24","82","74","8"
"5","100","""random""","0.1","0.05","1","3","2","1"
"2","100","""random""","0.1","0.05","25","83","75","8"
"6","100","""random""","0.1","0.05","0","0","0","0"
"2","100","""random""","0.1","0.05","26","83","75","8"
"5","100","""random""","0.1","0.05","2","10","8","2"
"2","100","""random""","0.1","0.05","27","85","77","8"
"2","100","""random""","0.1","0.05","28","87","79","8"
"6","100","""random""","0.1","0.05","1","7","6","1"
"5","100","""random""","0.1","0.05","3","18","16","2"
"2","100","""random""","0.1","0.05","29","88","80","8"
"2","100","""random""","0.1","0.05","30","89","80","9"
"2","100","""random""","0.1","0.05","31","89","80","9"
"5","100","""random""","0.1","0.05","4","23","21","2"
"6","100","""random""","0.1","0.05","2","12","10","2"
"2","100","""random""","0.1","0.05","32","90","81","9"
"5","100","""random""","0.1","0.05","5","28","26","2"
"2","100","""random""","0.1","0.05","33","92","83","9"
"2","100","""random""","0.1","0.05","34","94","85","9"
"6","100","""random""","0.1","0.05","3","18","16","2"
"5","100","""random""","0.1","0.05","6","30","28","2"
"2","100","""random""","0.1","0.05","35","96","87","9"
"2","100","""random""","0.1","0.05","36","97","88","9"
"2","100","""random""","0.1","0.05","37","97","88","9"
"6","100","""random""","0.1","0.05","4","25","23","2"
"5","100","""random""","0.1","0.05","7","37","34","3"
"2","100","""random""","0.1","0.05","38","97","88","9"
"2","100","""random""","0.1","0.05","39","97","88","9"
"2","100","""random""","0.1","0.05","40","98","89","9"
"5","100","""random""","0.1","0.05","8","40","36","4"
"2","100","""random""","0.1","0.05","41","98","89","9"
"6","100","""random""","0.1","0.05","5","33","30","3"
"2","100","""random""","0.1","0.05","42","98","89","9"
"2","100","""random""","0.1","0.05","43","98","89","9"
"2","100","""random""","0.1","0.05","44","98","89","9"
"2","100","""random""","0.1","0.05","45","98","89","9"
"6","100","""random""","0.1","0.05","6","35","31","4"
"2","100","""random""","0.1","0.05","46","98","89","9"
"2","100","""random""","0.1","0.05","47","98","89","9"
"2","100","""random""","0.1","0.05","48","98","89","9"
"2","100","""random""","0.1","0.05","49","98","89","9"
"7","100","""random""","0.1","0.05","0","0","0","0"
"2","100","""random""","0.1","0.05","50","99","90","9"
"2","100","""random""","0.1","0.05","51","99","90","9"
"2","100","""random""","0.1","0.05","52","99","90","9"
"2","100","""random""","0.1","0.05","53","99","90","9"
"7","100","""random""","0.1","0.05","1","3","3","0"
"2","100","""random""","0.1","0.05","54","99","90","9"
"2","100","""random""","0.1","0.05","55","99","90","9"
"2","100","""random""","0.1","0.05","56","99","90","9"
"7","100","""random""","0.1","0.05","2","9","8","1"
"2","100","""random""","0.1","0.05","57","99","90","9"
"2","100","""random""","0.1","0.05","58","99","90","9"
"2","100","""random""","0.1","0.05","59","99","90","9"
"2","100","""random""","0.1","0.05","60","99","90","9"
"7","100","""random""","0.1","0.05","3","13","12","1"
"2","100","""random""","0.1","0.05","61","99","90","9"
"2","100","""random""","0.1","0.05","62","99","90","9"
"2","100","""random""","0.1","0.05","63","99","90","9"
"2","100","""random""","0.1","0.05","64","99","90","9"
"2","100","""random""","0.1","0.05","65","99","90","9"
"2","100","""random""","0.1","0.05","66","100","90","10"
"7","100","""random""","0.1","0.05","4","18","17","1"
"5","100","""random""","0.1","0.05","9","46","42","4"
"5","100","""random""","0.1","0.05","10","48","44","4"
"7","100","""random""","0.1","0.05","5","25","23","2"
"5","100","""random""","0.1","0.05","11","51","47","4"
"7","100","""random""","0.1","0.05","6","29","27","2"
"5","100","""random""","0.1","0.05","12","56","52","4"
"5","100","""random""","0.1","0.05","13","58","53","5"
"7","100","""random""","0.1","0.05","7","34","32","2"
"5","100","""random""","0.1","0.05","14","63","56","7"
"5","100","""random""","0.1","0.05","15","63","56","7"
"7","100","""random""","0.1","0.05","8","42","39","3"
"6","100","""random""","0.1","0.05","7","37","33","4"
"5","100","""random""","0.1","0.05","16","66","59","7"
"7","100","""random""","0.1","0.05","9","48","45","3"
"6","100","""random""","0.1","0.05","8","42","37","5"
"5","100","""random""","0.1","0.05","17","69","62","7"
"7","100","""random""","0.1","0.05","10","53","49","4"
"5","100","""random""","0.1","0.05","18","75","68","7"
"6","100","""random""","0.1","0.05","9","45","40","5"
"7","100","""random""","0.1","0.05","11","59","53","6"
"5","100","""random""","0.1","0.05","19","79","72","7"
"8","100","""random""","0.1","0.05","0","0","0","0"
"5","100","""random""","0.1","0.05","20","85","78","7"
"7","100","""random""","0.1","0.05","12","62","56","6"
"6","100","""random""","0.1","0.05","10","51","45","6"
"5","100","""random""","0.1","0.05","21","86","79","7"
"7","100","""random""","0.1","0.05","13","69","63","6"
"7","100","""random""","0.1","0.05","14","73","67","6"
"8","100","""random""","0.1","0.05","1","4","4","0"
"5","100","""random""","0.1","0.05","22","86","79","7"
"7","100","""random""","0.1","0.05","15","75","69","6"
"6","100","""random""","0.1","0.05","11","57","51","6"
"5","100","""random""","0.1","0.05","23","86","79","7"
"7","100","""random""","0.1","0.05","16","80","73","7"
"5","100","""random""","0.1","0.05","24","87","80","7"
"7","100","""random""","0.1","0.05","17","80","73","7"
"8","100","""random""","0.1","0.05","2","6","6","0"
"5","100","""random""","0.1","0.05","25","89","81","8"
"6","100","""random""","0.1","0.05","12","59","52","7"
"7","100","""random""","0.1","0.05","18","81","74","7"
"5","100","""random""","0.1","0.05","26","89","81","8"
"5","100","""random""","0.1","0.05","27","89","81","8"
"5","100","""random""","0.1","0.05","28","93","85","8"
"8","100","""random""","0.1","0.05","3","9","8","1"
"7","100","""random""","0.1","0.05","19","86","78","8"
"5","100","""random""","0.1","0.05","29","94","86","8"
"5","100","""random""","0.1","0.05","30","94","86","8"
"5","100","""random""","0.1","0.05","31","94","86","8"
"8","100","""random""","0.1","0.05","4","14","13","1"
"5","100","""random""","0.1","0.05","32","94","86","8"
"5","100","""random""","0.1","0.05","33","95","86","9"
"8","100","""random""","0.1","0.05","5","17","16","1"
"6","100","""random""","0.1","0.05","13","64","57","7"
"5","100","""random""","0.1","0.05","34","97","88","9"
"5","100","""random""","0.1","0.05","35","98","88","10"
"7","100","""random""","0.1","0.05","20","87","79","8"
"5","100","""random""","0.1","0.05","36","99","89","10"
"5","100","""random""","0.1","0.05","37","100","90","10"
"8","100","""random""","0.1","0.05","6","23","21","2"
"7","100","""random""","0.1","0.05","21","88","80","8"
"6","100","""random""","0.1","0.05","14","68","59","9"
"7","100","""random""","0.1","0.05","22","89","81","8"
"6","100","""random""","0.1","0.05","15","72","63","9"
"7","100","""random""","0.1","0.05","23","90","82","8"
"8","100","""random""","0.1","0.05","7","30","28","2"
"7","100","""random""","0.1","0.05","24","91","83","8"
"6","100","""random""","0.1","0.05","16","74","65","9"
"7","100","""random""","0.1","0.05","25","93","84","9"
"6","100","""random""","0.1","0.05","17","78","69","9"
"7","100","""random""","0.1","0.05","26","95","86","9"
"6","100","""random""","0.1","0.05","18","80","71","9"
"6","100","""random""","0.1","0.05","19","82","73","9"
"7","100","""random""","0.1","0.05","27","95","86","9"
"6","100","""random""","0.1","0.05","20","83","74","9"
"7","100","""random""","0.1","0.05","28","97","87","10"
"8","100","""random""","0.1","0.05","8","36","34","2"
"7","100","""random""","0.1","0.05","29","97","87","10"
"6","100","""random""","0.1","0.05","21","83","74","9"
"7","100","""random""","0.1","0.05","30","97","87","10"
"6","100","""random""","0.1","0.05","22","85","76","9"
"7","100","""random""","0.1","0.05","31","98","88","10"
"7","100","""random""","0.1","0.05","32","99","89","10"
"6","100","""random""","0.1","0.05","23","86","77","9"
"7","100","""random""","0.1","0.05","33","99","89","10"
"6","100","""random""","0.1","0.05","24","87","78","9"
"7","100","""random""","0.1","0.05","34","99","89","10"
"6","100","""random""","0.1","0.05","25","88","79","9"
"7","100","""random""","0.1","0.05","35","99","89","10"
"6","100","""random""","0.1","0.05","26","90","81","9"
"7","100","""random""","0.1","0.05","36","99","89","10"
"7","100","""random""","0.1","0.05","37","99","89","10"
"6","100","""random""","0.1","0.05","27","90","81","9"
"7","100","""random""","0.1","0.05","38","99","89","10"
"6","100","""random""","0.1","0.05","28","90","81","9"
"7","100","""random""","0.1","0.05","39","99","89","10"
"6","100","""random""","0.1","0.05","29","91","82","9"
"7","100","""random""","0.1","0.05","40","99","89","10"
"9","100","""random""","0.1","0.05","0","0","0","0"
"7","100","""random""","0.1","0.05","41","99","89","10"
"7","100","""random""","0.1","0.05","42","99","89","10"
"7","100","""random""","0.1","0.05","43","99","89","10"
"7","100","""random""","0.1","0.05","44","99","89","10"
"7","100","""random""","0.1","0.05","45","99","89","10"
"7","100","""random""","0.1","0.05","46","99","89","10"
"9","100","""random""","0.1","0.05","1","6","6","0"
"7","100","""random""","0.1","0.05","47","99","89","10"
"7","100","""random""","0.1","0.05","48","99","89","10"
"7","100","""random""","0.1","0.05","49","99","89","10"
"7","100","""random""","0.1","0.05","50","99","89","10"
"7","100","""random""","0.1","0.05","51","99","89","10"
"7","100","""random""","0.1","0.05","52","100","90","10"
"9","100","""random""","0.1","0.05","2","9","9","0"
"9","100","""random""","0.1","0.05","3","11","11","0"
"9","100","""random""","0.1","0.05","4","19","18","1"
"6","100","""random""","0.1","0.05","30","91","82","9"
"8","100","""random""","0.1","0.05","9","41","39","2"
"6","100","""random""","0.1","0.05","31","94","85","9"
"6","100","""random""","0.1","0.05","32","94","85","9"
"6","100","""random""","0.1","0.05","33","94","85","9"
"6","100","""random""","0.1","0.05","34","97","87","10"
"6","100","""random""","0.1","0.05","35","97","87","10"
"8","100","""random""","0.1","0.05","10","50","47","3"
"6","100","""random""","0.1","0.05","36","97","87","10"
"6","100","""random""","0.1","0.05","37","97","87","10"
"6","100","""random""","0.1","0.05","38","97","87","10"
"8","100","""random""","0.1","0.05","11","52","49","3"
"6","100","""random""","0.1","0.05","39","97","87","10"
"6","100","""random""","0.1","0.05","40","97","87","10"
"6","100","""random""","0.1","0.05","41","97","87","10"
"6","100","""random""","0.1","0.05","42","98","88","10"
"6","100","""random""","0.1","0.05","43","98","88","10"
"6","100","""random""","0.1","0.05","44","98","88","10"
"6","100","""random""","0.1","0.05","45","98","88","10"
"6","100","""random""","0.1","0.05","46","98","88","10"
"10","100","""random""","0.1","0.05","0","0","0","0"
"6","100","""random""","0.1","0.05","47","98","88","10"
"6","100","""random""","0.1","0.05","48","98","88","10"
"6","100","""random""","0.1","0.05","49","98","88","10"
"6","100","""random""","0.1","0.05","50","98","88","10"
"6","100","""random""","0.1","0.05","51","99","89","10"
"10","100","""random""","0.1","0.05","1","7","6","1"
"6","100","""random""","0.1","0.05","52","99","89","10"
"6","100","""random""","0.1","0.05","53","99","89","10"
"6","100","""random""","0.1","0.05","54","99","89","10"
"6","100","""random""","0.1","0.05","55","99","89","10"
"6","100","""random""","0.1","0.05","56","99","89","10"
"10","100","""random""","0.1","0.05","2","13","11","2"
"6","100","""random""","0.1","0.05","57","99","89","10"
"6","100","""random""","0.1","0.05","58","99","89","10"
"8","100","""random""","0.1","0.05","12","58","53","5"
"6","100","""random""","0.1","0.05","59","99","89","10"
"6","100","""random""","0.1","0.05","60","99","89","10"
"9","100","""random""","0.1","0.05","5","28","27","1"
"6","100","""random""","0.1","0.05","61","99","89","10"
"6","100","""random""","0.1","0.05","62","99","89","10"
"8","100","""random""","0.1","0.05","13","62","55","7"
"6","100","""random""","0.1","0.05","63","100","90","10"
"9","100","""random""","0.1","0.05","6","29","28","1"
"8","100","""random""","0.1","0.05","14","66","59","7"
"9","100","""random""","0.1","0.05","7","32","31","1"
"9","100","""random""","0.1","0.05","8","37","35","2"
"8","100","""random""","0.1","0.05","15","71","63","8"
"9","100","""random""","0.1","0.05","9","39","37","2"
"8","100","""random""","0.1","0.05","16","73","64","9"
"8","100","""random""","0.1","0.05","17","78","69","9"
"9","100","""random""","0.1","0.05","10","41","38","3"
"8","100","""random""","0.1","0.05","18","82","72","10"
"8","100","""random""","0.1","0.05","19","86","76","10"
"8","100","""random""","0.1","0.05","20","88","78","10"
"8","100","""random""","0.1","0.05","21","90","80","10"
"9","100","""random""","0.1","0.05","11","42","39","3"
"8","100","""random""","0.1","0.05","22","90","80","10"
"9","100","""random""","0.1","0.05","12","45","42","3"
"8","100","""random""","0.1","0.05","23","91","81","10"
"8","100","""random""","0.1","0.05","24","92","82","10"
"10","100","""random""","0.1","0.05","3","24","21","3"
"9","100","""random""","0.1","0.05","13","53","49","4"
"8","100","""random""","0.1","0.05","25","92","82","10"
"8","100","""random""","0.1","0.05","26","93","83","10"
"9","100","""random""","0.1","0.05","14","56","52","4"
"10","100","""random""","0.1","0.05","4","28","25","3"
"8","100","""random""","0.1","0.05","27","93","83","10"
"8","100","""random""","0.1","0.05","28","95","85","10"
"10","100","""random""","0.1","0.05","5","31","28","3"
"8","100","""random""","0.1","0.05","29","96","86","10"
"8","100","""random""","0.1","0.05","30","96","86","10"
"8","100","""random""","0.1","0.05","31","97","87","10"
"10","100","""random""","0.1","0.05","6","43","39","4"
"8","100","""random""","0.1","0.05","32","97","87","10"
"8","100","""random""","0.1","0.05","33","97","87","10"
"10","100","""random""","0.1","0.05","7","50","46","4"
"8","100","""random""","0.1","0.05","34","97","87","10"
"8","100","""random""","0.1","0.05","35","97","87","10"
"11","100","""random""","0.2","0.05","0","0","0","0"
"10","100","""random""","0.1","0.05","8","54","50","4"
"10","100","""random""","0.1","0.05","9","59","55","4"
"8","100","""random""","0.1","0.05","36","98","88","10"
"8","100","""random""","0.1","0.05","37","98","88","10"
"10","100","""random""","0.1","0.05","10","60","56","4"
"8","100","""random""","0.1","0.05","38","98","88","10"
"8","100","""random""","0.1","0.05","39","98","88","10"
"11","100","""random""","0.2","0.05","1","3","3","0"
"9","100","""random""","0.1","0.05","15","59","54","5"
"10","100","""random""","0.1","0.05","11","65","61","4"
"8","100","""random""","0.1","0.05","40","98","88","10"
"10","100","""random""","0.1","0.05","12","69","65","4"
"8","100","""random""","0.1","0.05","41","98","88","10"
"8","100","""random""","0.1","0.05","42","98","88","10"
"10","100","""random""","0.1","0.05","13","72","67","5"
"8","100","""random""","0.1","0.05","43","98","88","10"
"8","100","""random""","0.1","0.05","44","98","88","10"
"8","100","""random""","0.1","0.05","45","98","88","10"
"10","100","""random""","0.1","0.05","14","76","70","6"
"8","100","""random""","0.1","0.05","46","98","88","10"
"8","100","""random""","0.1","0.05","47","98","88","10"
"9","100","""random""","0.1","0.05","16","62","56","6"
"11","100","""random""","0.2","0.05","2","9","9","0"
"10","100","""random""","0.1","0.05","15","80","74","6"
"8","100","""random""","0.1","0.05","48","98","88","10"
"8","100","""random""","0.1","0.05","49","99","89","10"
"10","100","""random""","0.1","0.05","16","84","78","6"
"8","100","""random""","0.1","0.05","50","99","89","10"
"11","100","""random""","0.2","0.05","3","15","14","1"
"9","100","""random""","0.1","0.05","17","65","59","6"
"10","100","""random""","0.1","0.05","17","86","80","6"
"8","100","""random""","0.1","0.05","51","99","89","10"
"10","100","""random""","0.1","0.05","18","88","81","7"
"8","100","""random""","0.1","0.05","52","99","89","10"
"10","100","""random""","0.1","0.05","19","90","83","7"
"8","100","""random""","0.1","0.05","53","99","89","10"
"10","100","""random""","0.1","0.05","20","91","84","7"
"11","100","""random""","0.2","0.05","4","20","19","1"
"8","100","""random""","0.1","0.05","54","99","89","10"
"9","100","""random""","0.1","0.05","18","66","59","7"
"10","100","""random""","0.1","0.05","21","94","87","7"
"8","100","""random""","0.1","0.05","55","99","89","10"
"10","100","""random""","0.1","0.05","22","95","88","7"
"8","100","""random""","0.1","0.05","56","99","89","10"
"10","100","""random""","0.1","0.05","23","95","88","7"
"8","100","""random""","0.1","0.05","57","99","89","10"
"9","100","""random""","0.1","0.05","19","68","61","7"
"11","100","""random""","0.2","0.05","5","21","20","1"
"10","100","""random""","0.1","0.05","24","96","89","7"
"8","100","""random""","0.1","0.05","58","99","89","10"
"10","100","""random""","0.1","0.05","25","96","89","7"
"10","100","""random""","0.1","0.05","26","96","89","7"
"8","100","""random""","0.1","0.05","59","99","89","10"
"9","100","""random""","0.1","0.05","20","70","63","7"
"10","100","""random""","0.1","0.05","27","96","89","7"
"8","100","""random""","0.1","0.05","60","99","89","10"
"10","100","""random""","0.1","0.05","28","96","89","7"
"11","100","""random""","0.2","0.05","6","24","22","2"
"10","100","""random""","0.1","0.05","29","96","89","7"
"9","100","""random""","0.1","0.05","21","72","65","7"
"10","100","""random""","0.1","0.05","30","98","89","9"
"10","100","""random""","0.1","0.05","31","98","89","9"
"8","100","""random""","0.1","0.05","61","99","89","10"
"9","100","""random""","0.1","0.05","22","77","69","8"
"10","100","""random""","0.1","0.05","32","98","89","9"
"8","100","""random""","0.1","0.05","62","99","89","10"
"10","100","""random""","0.1","0.05","33","98","89","9"
"10","100","""random""","0.1","0.05","34","98","89","9"
"8","100","""random""","0.1","0.05","63","99","89","10"
"11","100","""random""","0.2","0.05","7","32","30","2"
"10","100","""random""","0.1","0.05","35","98","89","9"
"8","100","""random""","0.1","0.05","64","99","89","10"
"10","100","""random""","0.1","0.05","36","98","89","9"
"9","100","""random""","0.1","0.05","23","81","73","8"
"8","100","""random""","0.1","0.05","65","99","89","10"
"10","100","""random""","0.1","0.05","37","98","89","9"
